Cube	1468	314	1387	364	16777215	0
Cube	1596	365	1586	477	16777215	0
Cube	1741	500	1762	641	16777215	0
Cube	1692	215	1774	313	16777215	0
Cube	1664	686	1576	746	16777215	0
Cube	1535	784	1510	858	16777215	0
Cube	1514	874	1413	926	16777215	0
Cube	1333	961	1234	990	16777215	0
Cube	1102	1038	946	1103	16777215	0
Rect	157	560	194	599	16777215	0
Rect	282	691	380	815	16777215	0
Rect	465	856	557	893	16777215	0
Rect	705	922	814	930	16777215	0
Rect	1626	1021	1502	1074	16777215	0
Rect	1557	969	1409	1023	16777215	0
Rect	1129	715	1218	921	16777215	0
Rect	977	587	985	773	16777215	0
Cube	666	757	840	832	16777215	12615808
Cube	942	890	1026	931	16777215	12615808
Cube	1089	963	1185	999	16777215	12615808
Cube	1249	1044	1341	1067	16777215	12615808
Cube	1366	1072	1437	1090	16777215	12615808
Ellipse	576	512	634	555	16777215	12615808
Ellipse	697	614	720	631	16777215	12615808
Ellipse	740	640	759	655	16777215	12615808
Ellipse	782	672	827	696	16777215	12615808
Ellipse	874	715	948	741	16777215	12615808
Ellipse	987	768	1027	800	16777215	12615808
Ellipse	1050	816	1088	842	16777215	12615808
Ellipse	1170	838	1315	843	16777215	12615808
Ellipse	1334	800	1334	794	16777215	12615808
Ellipse	1286	699	1088	770	16777215	12615808
Ellipse	1024	629	1162	795	16777215	12615808
Ellipse	1236	547	1568	776	16777215	12615808
Ellipse	1284	489	1534	689	16777215	12615808
Ellipse	1378	447	1438	535	16777215	12615808
Ellipse	1661	887	1223	685	16777215	12615808
Cube	94	535	159	630	16777215	12615808
Cube	152	680	168	760	16777215	12615808
Cube	176	852	246	943	16777215	12615808
Cube	266	970	371	1049	16777215	12615808
Cube	423	1072	520	1094	16777215	12615808
Cube	419	636	558	770	16777215	12615808
Cube	121	1345	335	1442	16777215	12615808
Cube	389	1482	488	1574	16777215	12615808
Cube	567	1592	669	1617	16777215	12615808
Cube	707	1630	789	1658	16777215	12615808
Cube	906	1672	992	1698	16777215	12615808
