Cube	132	50	176	100	16777215	0
Cube	191	113	209	133	16777215	0
Cube	222	140	246	163	16777215	0
Cube	259	174	327	235	16777215	0
Cube	340	246	411	301	16777215	0
Cube	445	327	522	402	16777215	0
Cube	544	427	684	548	16777215	0
Cube	726	584	739	595	16777215	0
Cube	586	493	617	519	16777215	0
FSAKAG	KD;ASDK	;AKD;A	;K;AKD
Cilinder	242	559	284	654	16777215	0
Cilinder	317	680	407	830	16777215	0
Cilinder	464	874	527	925	16777215	0
Cilinder	541	932	583	956	16777215	0
Cilinder	609	961	693	1006	16777215	0
Cilinder	710	1011	875	1027	16777215	0
Cilinder	988	1014	1061	968	16777215	0
Cilinder	1070	842	1014	738	16777215	0
Cilinder	939	668	879	657	16777215	0
Cilinder	714	636	679	646	16777215	0
Cilinder	571	667	505	675	16777215	0
FSAKAG	KD;ASDK	;AKD;A	;K;AKD
Cilinder	461	675	380	708	16777215	0
PuncktLine	108	621	103	715	16777215	0
PuncktLine	119	767	155	841	16777215	0
PuncktLine	173	859	231	910	16777215	0
PuncktLine	269	927	308	937	16777215	0
PuncktLine	325	938	383	946	16777215	0
FSAKAG	KD;ASDK	;AKD;A	;K;AKD
PuncktLine	427	942	782	915	16777215	0
PuncktLine	826	905	1047	789	16777215	0
PuncktLine	1029	748	955	707	16777215	0
PuncktLine	903	693	796	689	16777215	0
PuncktLine	676	672	560	703	16777215	0
PuncktLine	500	718	461	724	16777215	0
PuncktLine	391	684	356	637	16777215	0
PuncktLine	307	598	258	609	16777215	0
PuncktLine	231	630	170	650	16777215	0
PuncktLine	134	645	102	598	16777215	0
PuncktLine	80	578	66	562	16777215	0
PuncktLine	36	559	25	579	16777215	0
